1.62600000	6.81000000	1.62600000	6.81000000
1.62600000	6.67700000	1.62600000	6.81000000
1.63200000	6.67700000	1.63200000	6.80949153
1.63200000	6.59400000	1.63200000	6.80949153
1.63800000	6.59400000	1.63800000	6.80898306
1.64000000	6.42700000	1.64000000	6.80881356
1.64500000	6.41600000	1.64500000	6.80838983
1.65500000	6.42700000	1.65500000	6.80754238
1.65800000	6.51300000	1.65800000	6.80728814
1.65800000	6.51300000	1.65800000	6.80728814
1.66600000	6.57700000	1.66600000	6.80661017
1.66600000	6.67500000	1.66600000	6.80661017
1.67200000	6.75300000	1.67200000	6.80610170
1.68200000	6.75300000	1.68200000	6.80525424
1.68500000	6.80500000	1.68500000	6.80500000
